accession,source_experiment,reason_excluded,n_sources
GCF_052416375.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_052566715.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_052658775.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_052786815.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_052828745.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_052855985.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_052923225.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_052946635.1,D12_candidate_pool;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_052954335.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_052955985.1,D12;D12_candidate_pool;M60_EXCLUSION:D12;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,4
GCF_053348035.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_053522785.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_053612185.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_053618555.1,D8;M60_EXCLUSION:D8,prior_development_or_evaluation_or_reference_exposure,2
GCF_053698625.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_053756975.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_053795755.1,D12;D12_candidate_pool;M60_EXCLUSION:D12;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,4
GCF_053819165.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_054050515.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_054052205.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_054055795.1,D12;D12_candidate_pool;M60_EXCLUSION:D12;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,4
GCF_054061855.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_054331495.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_054452975.1,M60_selected;M60_truth_final;model_poc_v5_5case,prior_development_or_evaluation_or_reference_exposure,3
GCF_054475615.1,D12_candidate_pool;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_054495665.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_054552735.1,M60_selected;M60_truth_final;decision_authority_poc_v5;known_failure_rescue_v5;model_poc_v5_5case,prior_development_or_evaluation_or_reference_exposure,5
GCF_054792365.1,D8;M60_EXCLUSION:D8,prior_development_or_evaluation_or_reference_exposure,2
GCF_054953385.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_055181375.1,M60_EXCLUSION:cohort_C;M60_EXCLUSION:cohort_C_pilot5;cohort_C;cohort_C_pilot5,prior_development_or_evaluation_or_reference_exposure,4
GCF_055305445.1,M60_EXCLUSION:cohort_C;M60_EXCLUSION:cohort_C_pilot5;cohort_C;cohort_C_pilot5,prior_development_or_evaluation_or_reference_exposure,4
GCF_055378285.1,M60_EXCLUSION:cohort_C;M60_EXCLUSION:cohort_C_pilot5;cohort_C;cohort_C_pilot5,prior_development_or_evaluation_or_reference_exposure,4
GCF_055379825.1,M60_EXCLUSION:cohort_C;M60_EXCLUSION:cohort_C_pilot5;cohort_C;cohort_C_pilot5,prior_development_or_evaluation_or_reference_exposure,4
GCF_055388155.1,D12_candidate_pool;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_055389225.1,M60_selected;M60_truth_final;model_poc_v5_5case,prior_development_or_evaluation_or_reference_exposure,3
GCF_055394735.1,M60_EXCLUSION:cohort_C;M60_EXCLUSION:cohort_C_pilot5;cohort_C;cohort_C_pilot5,prior_development_or_evaluation_or_reference_exposure,4
GCF_055502155.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_055523395.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_055562315.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_055576875.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_055698855.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_056155565.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_056173045.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_056267885.1,D8;M60_EXCLUSION:D8,prior_development_or_evaluation_or_reference_exposure,2
GCF_056269845.1,M60_selected;M60_truth_final;decision_authority_poc_v5;model_poc_v5_5case,prior_development_or_evaluation_or_reference_exposure,4
GCF_056405795.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_056483745.1,D8;M60_EXCLUSION:D8,prior_development_or_evaluation_or_reference_exposure,2
GCF_056497905.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_056539405.1,M60_selected;M60_truth_final;known_failure_rescue_v5,prior_development_or_evaluation_or_reference_exposure,3
GCF_056613625.1,M60_selected;M60_truth_final;decision_authority_poc_v5;known_failure_rescue_v5,prior_development_or_evaluation_or_reference_exposure,4
GCF_056688965.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_056820395.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_056821935.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_056850595.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_056857995.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_056892195.1,M60_selected;M60_truth_final;decision_authority_poc_v5,prior_development_or_evaluation_or_reference_exposure,3
GCF_057063505.1,M60_EXCLUSION:cohort_C;M60_EXCLUSION:cohort_C_pilot5;cohort_C;cohort_C_pilot5,prior_development_or_evaluation_or_reference_exposure,4
GCF_057162725.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_057180445.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_057327385.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_057501835.1,M60_selected;M60_truth_final;decision_authority_poc_v5,prior_development_or_evaluation_or_reference_exposure,3
GCF_057525735.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_057546125.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_057612195.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_057626335.1,D12;D12_candidate_pool;M60_EXCLUSION:D12;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,4
GCF_057808655.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_057813005.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_058071205.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_058182195.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_058188625.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_058350045.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_058370595.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_058409085.1,M60_selected;M60_truth_final;decision_authority_poc_v5;model_poc_v5_5case,prior_development_or_evaluation_or_reference_exposure,4
GCF_058513295.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_058596135.1,D12;D12_candidate_pool;M60_EXCLUSION:D12;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,4
GCF_058663115.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_058684075.1,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_058702785.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_058705105.1,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_058808595.1,M60_selected;M60_truth_final;decision_authority_poc_v5;known_failure_rescue_v5,prior_development_or_evaluation_or_reference_exposure,4
GCF_058896565.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_059417765.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
