N,q_discordance,p_agentic_favours,expected_discordant_pairs,alpha,test,power,powered_ge_0.80
80,0.50,0.70,40.0,0.05,exact_two_sided_mcnemar_binomial,0.680018,NO
80,0.50,0.75,40.0,0.05,exact_two_sided_mcnemar_binomial,0.879380,YES
80,0.50,0.80,40.0,0.05,exact_two_sided_mcnemar_binomial,0.973086,YES
80,0.50,0.85,40.0,0.05,exact_two_sided_mcnemar_binomial,0.997159,YES
100,0.10,0.60,10.0,0.05,exact_two_sided_mcnemar_binomial,0.048980,NO
100,0.10,0.65,10.0,0.05,exact_two_sided_mcnemar_binomial,0.087750,NO
100,0.10,0.70,10.0,0.05,exact_two_sided_mcnemar_binomial,0.150081,NO
100,0.10,0.75,10.0,0.05,exact_two_sided_mcnemar_binomial,0.240889,NO
100,0.10,0.80,10.0,0.05,exact_two_sided_mcnemar_binomial,0.361969,NO
100,0.10,0.85,10.0,0.05,exact_two_sided_mcnemar_binomial,0.509063,NO
100,0.20,0.60,20.0,0.05,exact_two_sided_mcnemar_binomial,0.098764,NO
100,0.20,0.65,20.0,0.05,exact_two_sided_mcnemar_binomial,0.199944,NO
100,0.20,0.70,20.0,0.05,exact_two_sided_mcnemar_binomial,0.353487,NO
100,0.20,0.75,20.0,0.05,exact_two_sided_mcnemar_binomial,0.544445,NO
100,0.20,0.80,20.0,0.05,exact_two_sided_mcnemar_binomial,0.735691,NO
100,0.20,0.85,20.0,0.05,exact_two_sided_mcnemar_binomial,0.883913,YES
100,0.30,0.60,30.0,0.05,exact_two_sided_mcnemar_binomial,0.142708,NO
100,0.30,0.65,30.0,0.05,exact_two_sided_mcnemar_binomial,0.303991,NO
100,0.30,0.70,30.0,0.05,exact_two_sided_mcnemar_binomial,0.524698,NO
100,0.30,0.75,30.0,0.05,exact_two_sided_mcnemar_binomial,0.746597,NO
100,0.30,0.80,30.0,0.05,exact_two_sided_mcnemar_binomial,0.904252,YES
100,0.30,0.85,30.0,0.05,exact_two_sided_mcnemar_binomial,0.977859,YES
100,0.40,0.60,40.0,0.05,exact_two_sided_mcnemar_binomial,0.198185,NO
100,0.40,0.65,40.0,0.05,exact_two_sided_mcnemar_binomial,0.419641,NO
100,0.40,0.70,40.0,0.05,exact_two_sided_mcnemar_binomial,0.678985,NO
100,0.40,0.75,40.0,0.05,exact_two_sided_mcnemar_binomial,0.877995,YES
100,0.40,0.80,40.0,0.05,exact_two_sided_mcnemar_binomial,0.972179,YES
100,0.40,0.85,40.0,0.05,exact_two_sided_mcnemar_binomial,0.996908,YES
100,0.50,0.60,50.0,0.05,exact_two_sided_mcnemar_binomial,0.250055,NO
100,0.50,0.65,50.0,0.05,exact_two_sided_mcnemar_binomial,0.520310,NO
100,0.50,0.70,50.0,0.05,exact_two_sided_mcnemar_binomial,0.789028,NO
100,0.50,0.75,50.0,0.05,exact_two_sided_mcnemar_binomial,0.944673,YES
100,0.50,0.80,50.0,0.05,exact_two_sided_mcnemar_binomial,0.992811,YES
100,0.50,0.85,50.0,0.05,exact_two_sided_mcnemar_binomial,0.999654,YES
120,0.10,0.60,12.0,0.05,exact_two_sided_mcnemar_binomial,0.059688,NO
120,0.10,0.65,12.0,0.05,exact_two_sided_mcnemar_binomial,0.110674,NO
120,0.10,0.70,12.0,0.05,exact_two_sided_mcnemar_binomial,0.192020,NO
120,0.10,0.75,12.0,0.05,exact_two_sided_mcnemar_binomial,0.307501,NO
120,0.10,0.80,12.0,0.05,exact_two_sided_mcnemar_binomial,0.454097,NO
120,0.10,0.85,12.0,0.05,exact_two_sided_mcnemar_binomial,0.618907,NO
120,0.20,0.60,24.0,0.05,exact_two_sided_mcnemar_binomial,0.114963,NO
120,0.20,0.65,24.0,0.05,exact_two_sided_mcnemar_binomial,0.239726,NO
120,0.20,0.70,24.0,0.05,exact_two_sided_mcnemar_binomial,0.422725,NO
